Key,City,Month,Vendor,Total Pay,Net Deduction,Net Pay,Negative Pay,PFESI,Sourcing Fees,Commission,Comm. Amount,Vendor Pay,MIS PAY,MIS Amount,Dif In MIS,Diff in Invoice,Extra per rs
Bangalore-45352-3WH,Bangalore,01/03/2024,3WH,37330,0,37330,₹0,0,0,,0,37330,37330,0,"-₹37,330",,0
Bangalore-45352-Blitz_Self,Bangalore,01/03/2024,Blitz_Self,73010,8748.5,64261.5,₹0,0,0,,0,854,9602.5,0,"-₹9,603",,0
Bangalore-45352-Hindusree,Bangalore,01/03/2024,Hindusree,1484495,46630.83,1437864.17,₹0,0,0,5%,71893.2085,1509757.379,1556388.209,1577378.25,"₹20,990",,0.04842940428
Bangalore-45352-Olive,Bangalore,01/03/2024,Olive,44230,0,44230,₹0,,0,5%,2473,44230,44230,46441.5,"₹2,212",,0.05591227674
Bangalore-45352-Peel works,Bangalore,01/03/2024,Peel works,1443740,182608.09,1261131.91,"₹23,244",114239,24000,6%,90050,1512664.78,1695272.87,1539771.9,"-₹155,501",,0.1742230665
Bangalore-45352-Quess Corp,Bangalore,01/03/2024,Quess Corp,144155,24358,119797,₹0,14553,,7%,10026,144376.07,168734.07,174329.75,"₹5,596",,0.1705039714
Delhi-45352-JPS,Delhi,01/03/2024,JPS,264165,5110.6,259054.4,₹0,2915,0,5%,13354,272408,277518.6,264165,"-₹13,354",,0.06158650843
Delhi-45352-PS Manpower solutions,Delhi,01/03/2024,PS Manpower solutions,1443274.8,21523.1,1421751.7,₹0,21523.3,0,4%,57731,1501006,1522529.1,1113191.5,"-₹409,338",,0.05491282741
Delhi-45352-Rapydex,Delhi,01/03/2024,Rapydex,184660,1529,183131,₹0,0,0,5%,9157,192288,193817,184660,"-₹9,157",,0.04958599588
Delhi-45352-Vlead,Delhi,01/03/2024,Vlead,381090,63388.61,317701.39,₹0,8059.61,0,5%,16287,342048,405436.61,374755,"-₹30,682",,0.06388677215
Hyderabad-45352-ACP Facility,Hyderabad,01/03/2024,ACP Facility,291515,131503.88,160011.12,"₹67,919",43287,0,5%,8473,279690.05,411193.93,306090.75,"-₹105,103",,0.4105410699
Hyderabad-45352-Blitz_Self,Hyderabad,01/03/2024,Blitz_Self,43385,68083.82,-24698.82,₹0,0,0,,0,24699,92782.82,0,"-₹92,783",,0
Hyderabad-45352-Hindusree,Hyderabad,01/03/2024,Hindusree,3085,0,3085,₹0,0,0,5%,154.25,3085,3085,0,"-₹3,085",,0.05
Hyderabad-45352-Peel works,Hyderabad,01/03/2024,Peel works,1693715,483171.34,1210543.66,"₹1,89,288",150365,41000,6%,91497.82,1657468,2140639.34,1767894.8,"-₹372,745",61000,0.2787665339
Hyderabad-45352-Piqyu,Hyderabad,01/03/2024,Piqyu,228670,163059.33,65610.67,"₹82,764",0,0,6%,13720.2,162094.68,325154.01,235725,"-₹89,429",,0.4219353216
Hyderabad-45352-Quess Corp,Hyderabad,01/03/2024,Quess Corp,28105,18677.58,9427.42,"₹13,914",2384,0,7%,1631,23307,41984.58,25738.85,"-₹16,246",,0.6379142501
Hyderabad-45352-Shiva Shakti,Hyderabad,01/03/2024,Shiva Shakti,585250,71463.22,513786.78,"₹20,130",0,0,,26425,554905,626368.22,609094.5,"-₹17,274",,0.07954737292
Jaipur-45352-JPS,Jaipur,01/03/2024,JPS,417710,0,417710,₹0,14256,0,5%,22624,454590.05,454590.05,475111.35,"₹20,521",,0.08829091954
Mumbai-45352-Ambika,Mumbai,01/03/2024,Ambika,516488,11668.86,504819.14,₹0,0,0,8%,40385.5312,545204.7512,556873.6112,549892.67,"-₹6,981",,0.07819258376
Mumbai-45352-Rapydex,Mumbai,01/03/2024,Rapydex,1322468,25996.55,1296471.45,"₹8,347",0,0,7%,90754,1387226,1413222.55,1414079.9,₹857,,0.0749360287
Mumbai-45352-Team HR,Mumbai,01/03/2024,Team HR,355578,41572.4,314005.6,₹379,0,0,5%,19237,333621.95,375194.35,473196.8,"₹98,002",,0.05516736131
